symbol,date,open,high,low,close,volume,ma20,ma50,ma200,rsi14,macd_line,macd_signal,macd_hist,bb_upper,bb_lower,bb_mid,daily_ret
CRM,2025-12-22,260.6199951171875,264.6300048828125,258.4100036621094,264.6300048828125,5664200,249.66350326538085,247.69460205078124,NA,64.81498062740678,2.086648737877983,1.630458796792695,0.4561899410852881,276.5653759539303,222.7616305768314,249.66350326538085,0.018160136794270088
NFLX,2025-12-22,94.70999908447266,94.70999908447266,92.910003662109375,93.2300033569336,39484800,99.56149978637696,107.71802017211914,NA,31.649961398888546,-4.4049020020935465,-4.195934145048508,-0.20896785704503884,111.37015468989001,87.7528448828639,99.56149978637696,-0.012289395489095245
ACN,2025-12-22,271.6099853515625,272.79998779296875,267.8500061035156,270.6700134277344,3289500,265.0714988708496,253.19099975585937,NA,59.69626368241219,2.3221294365513234,2.3959114357765943,-0.07378199922527084,284.3395919426374,245.8034057990618,265.0714988708496,-0.005803440118514747
LIN,2025-12-22,421.55999755859375,425.2900085449219,420.5299987792969,423.510009765625,2354200,409.04350128173826,422.7644024658203,NA,57.88544559328387,-0.032207851706411716,-0.9172873179211151,0.8850794662147033,429.66537860246314,388.4216239610134,409.04350128173826,0.004935617127383551
DHR,2025-12-22,225.1300048828125,228.66000366210938,224.1199951171875,228.00999450683594,2576100,226.77249984741212,220.31159942626954,NA,55.80983762704444,0.735763834172376,1.049122714279275,-0.31335888010689894,231.82023953636963,221.72476015845461,226.77249984741212,0.014098906869671968
TXN,2025-12-22,179.49000549316406,179.89999389648438,177.97000122070312,178.82000732421875,5373100,175.49350051879884,169.41340087890626,NA,58.85206230014495,1.6231597420744537,1.766760244035186,-0.14360050196073226,188.7794286543327,162.207572383265,175.49350051879884,0.014351433061657204
NEE,2025-12-22,79.0199966430664,80.18000030517578,78.720001220703125,80.04000091552734,7136200,82.48000030517578,83.3168000793457,NA,40.05217466920754,-1.0742155439578682,-0.6786153375914169,-0.3956002063664513,86.68894830632534,78.27105230402621,82.48000030517578,0.006286145263324938
PM,2025-12-22,157.00999450683594,161.17999267578125,156.99000549316406,159.6999969482422,7391500,154.15799865722656,153.85319915771484,NA,60.89185301466785,0.6972433805324973,0.14462585964895128,0.5526175208835461,161.8643564700222,146.45164084443093,154.15799865722656,0.01823514841322793
MS,2025-12-22,177.58999633789062,180.25999450683594,177.41000366210938,179.75999450683594,4574600,174.07049942016602,166.96459899902345,NA,64.67780887868265,1.9710064291847962,2.102115591180673,-0.13110916199587663,184.0997664848592,164.04123235547283,174.07049942016602,0.015707983085142985
RTX,2025-12-22,182.86000061035156,185.8699951171875,181.75999450683594,185.67999267578125,3208300,175.03049926757814,173.63179992675782,NA,67.69243560167331,1.4405814182006704,0.8452409543250028,0.5953404638756676,184.7059329834095,165.35506555174678,175.03049926757814,0.020163717816097604
AMGN,2025-12-22,327.010009765625,331.8800048828125,326.0799865722656,331.3900146484375,2400400,330.17950134277345,319.07640075683594,NA,55.54232484844022,0.2161353420723211,0.4667142727454132,-0.2505789306730921,350.224977419546,310.1340252660009,330.17950134277345,0.012248792552435939
HON,2025-12-22,198.27999877929688,199.75,195.1999969482422,195.9600067138672,4384000,193.63700103759766,195.4657781982422,NA,51.82219043261938,0.43837348660258346,0.03378729106796676,0.4045861955346167,200.17341125026937,187.10059082492594,193.63700103759766,-0.015820370081002344
UPS,2025-12-22,101.62999725341797,102,100.02999877929688,100.7300033569336,5464400,97.88150062561036,94.05480056762696,NA,61.765866198045586,2.249328638977155,2.055847022177722,0.1934816167994331,103.48569248562754,92.27730876559318,97.88150062561036,-0.011675773483032725
QCOM,2025-12-22,177.55999755859375,178.32000732421875,173.89999389648438,174.22000122070312,6422100,173.45099945068358,172.03139923095702,NA,51.0759891605092,0.7993906585504806,0.9290630833946075,-0.1296724248441269,183.75721466325726,163.1447842381099,173.45099945068358,-0.005877311151480047
