date,symbol,news_sentiment,news_articles,wsb_mentions,wsb_rank,wsb_rank_chg,st_bullish,st_bearish,st_watchers,st_bull_ratio
2026-08-21,SPY,NA,NA,213,1,1,NA,NA,NA,NA
2026-08-22,SPY,NA,NA,85,1,0,NA,NA,NA,NA
2026-08-21,SRE,-0.357644,2,NA,NA,NA,NA,NA,NA,NA
2026-08-21,SYF,0.006045,1,NA,NA,NA,NA,NA,NA,NA
2026-08-22,TAO.X,NA,NA,NA,NA,NA,0,0,2688,NA
2026-08-22,TEM,NA,NA,4,35,22,NA,NA,NA,NA
2026-08-21,TLT,NA,NA,9,41,-7,NA,NA,NA,NA
2026-08-21,TMO,0.041515,1,NA,NA,NA,NA,NA,NA,NA
2026-08-22,TOST,NA,NA,NA,NA,NA,0,0,8231,NA
2026-08-21,TPL,0.521853,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,TRLV,NA,NA,NA,NA,NA,0,0,7715,NA
2026-08-22,TRUMP.X,NA,NA,NA,NA,NA,1,0,12640,1
2026-08-21,TSLA,NA,NA,80,7,13,NA,NA,NA,NA
2026-08-22,TSLA,NA,NA,23,8,6,NA,NA,NA,NA
2026-08-22,TTWO,NA,NA,3,38,179,NA,NA,NA,NA
2026-08-22,UAE,NA,NA,3,46,375,NA,NA,NA,NA
2026-08-21,ULTA,-0.226477,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,USMX,0.003695,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,USO,NA,NA,9,40,-3,NA,NA,NA,NA
2026-08-22,USO,NA,NA,10,16,21,NA,NA,NA,NA
2026-08-22,VLO,NA,NA,NA,NA,NA,0,0,9536,NA
2026-08-21,VMC,0.035026,1,NA,NA,NA,NA,NA,NA,NA
2026-08-22,VOO,NA,NA,14,13,29,NA,NA,NA,NA
2026-08-21,VZ,0.187403,1,NA,NA,NA,NA,NA,NA,NA
2026-08-22,WDC,NA,NA,3,39,180,NA,NA,NA,NA
2026-08-22,WEN,NA,NA,3,41,79,NA,NA,NA,NA
2026-08-21,WMT,NA,NA,39,14,-8,NA,NA,NA,NA
2026-08-22,WMT,NA,NA,10,15,-6,NA,NA,NA,NA
2026-08-21,WTW,0.428992,1,NA,NA,NA,NA,NA,NA,NA
2026-08-21,WULF,NA,NA,NA,NA,NA,0,0,31134,NA
2026-08-22,XAGUSD,NA,NA,NA,NA,NA,0,0,3623,NA
2026-08-21,XCN.X,NA,NA,NA,NA,NA,0,0,8014,NA
2026-08-22,XRP.X,NA,NA,NA,NA,NA,4,0,236441,1
2026-08-22,Z,NA,NA,NA,NA,NA,0,0,19062,NA
2026-08-21,ZBCN.X,NA,NA,NA,NA,NA,0,0,5700,NA
2026-08-21,ZEC.X,NA,NA,NA,NA,NA,0,0,10702,NA
2026-08-22,ZEC.X,NA,NA,NA,NA,NA,1,0,10820,1
