symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
HALO,15154414,14880707,11.59,2026-09-15,NA,0.13,finra,113498000,shares outstanding,Stable,0,FALSE,86.46,95.31,0,40,46.68,1,46.68,Low Signal,13.4%
WLDN,2010919,2116268,10.52,2026-09-15,NA,0.13,finra,15232100,shares outstanding,Stable,0,FALSE,85.94,94.27,0,40,46.34,1,46.34,Low Signal,13.2%
VITL,10455625,9564910,9.11,2026-09-15,NA,0.24,finra,42931500,shares outstanding,Increasing,0,FALSE,96.88,91.15,0,20,45.45,1,45.45,Low Signal,24.4%
TDUP,21250498,18679116,10.22,2026-09-15,NA,0.19,finra,111010000,shares outstanding,Increasing,0,FALSE,93.75,93.23,0,20,45.08,1,45.08,Low Signal,19.1%
IDYA,9931622,10103757,17.26,2026-09-15,NA,0.1,finra,96489000,shares outstanding,Stable,0,FALSE,76.04,99.48,0,40,44.91,1,44.91,Low Signal,10.3%
SOUN,165088496,156869087,6.95,2026-09-15,NA,0.4,finra,411577000,shares outstanding,Increasing,0,FALSE,99.48,83.85,0,20,44.64,1,44.64,Low Signal,40.1%
WDAY,14145081,17041430,5.42,2026-09-15,NA,0.07,finra,196000000,shares outstanding,Decreasing,0,FALSE,67.19,76.56,0,80,44.11,1,44.11,Low Signal,7.2%
UPST,27649788,25946861,6.86,2026-09-15,NA,0.29,finra,95712000,shares outstanding,Increasing,0,FALSE,97.92,82.81,0,20,44.04,1,44.04,Low Signal,28.9%
SG,25371158,24239006,4.99,2026-09-15,NA,0.24,finra,107148000,shares outstanding,Stable,0,FALSE,95.83,69.27,0,40,43.81,1,43.81,Low Signal,23.7%
PTGX,8140194,7712543,15.13,2026-09-15,NA,0.13,finra,64708000,shares outstanding,Increasing,0,FALSE,84.38,97.92,0,20,43.68,1,43.68,Low Signal,12.6%
BRCC,490971,439232,5.5,2026-09-15,NA,0.41,finra,1198200,shares outstanding,Increasing,0,FALSE,100,77.08,0,20,43.42,1,43.42,Low Signal,41%
ARHS,6368005,6384302,6.8,2026-09-15,NA,0.12,finra,54424000,shares outstanding,Stable,0,FALSE,81.77,82.29,0,40,42.9,1,42.9,Low Signal,11.7%
QBTS,67980668,71469896,4.69,2026-09-15,NA,0.18,finra,376451000,shares outstanding,Stable,0,FALSE,91.15,66.15,0,40,42.02,1,42.02,Low Signal,18.1%
CALM,4962860,4772122,5.99,2026-09-15,NA,0.11,finra,46706000,shares outstanding,Stable,0,FALSE,78.12,80.21,0,40,41.57,1,41.57,Low Signal,10.6%
IONS,20890252,20924638,5.2,2026-09-15,NA,0.13,finra,166184000,shares outstanding,Stable,0,FALSE,83.33,72.92,0,40,41.42,1,41.42,Low Signal,12.6%
MITK,4103611,4021998,7.29,2026-09-15,NA,0.09,finra,45122400,shares outstanding,Stable,0,FALSE,72.4,86.46,0,40,41.39,1,41.39,Low Signal,9.1%
YETI,8134723,7884077,5.38,2026-09-15,NA,0.11,finra,72989000,shares outstanding,Stable,0,FALSE,80.21,76.04,0,40,41.26,1,41.26,Low Signal,11.1%
FIGS,16697075,17066482,5.84,2026-09-15,NA,0.11,finra,157857000,shares outstanding,Stable,0,FALSE,77.6,79.17,0,40,41.23,1,41.23,Low Signal,10.6%
XENE,6444815,6344135,12.22,2026-09-15,NA,0.07,finra,96840000,shares outstanding,Stable,0,FALSE,63.02,95.83,0,40,40.92,1,40.92,Low Signal,6.7%
HUBB,2848108,3040421,5.89,2026-09-15,NA,0.05,finra,52833000,shares outstanding,Decreasing,0,FALSE,51.56,79.69,0,80,40.83,1,40.83,Low Signal,5.4%
SOFI,188982888,177480044,5.23,2026-09-15,NA,0.15,finra,1291570000,shares outstanding,Increasing,0,FALSE,89.06,73.44,0,20,39.95,1,39.95,No Signal,14.6%
ALGM,10439912,12822951,5.18,2026-09-15,NA,0.06,finra,186402000,shares outstanding,Decreasing,0,FALSE,53.12,71.88,0,80,39.66,1,39.66,No Signal,5.6%
JAZZ,4676811,4624690,7.22,2026-09-15,NA,0.07,finra,64915000,shares outstanding,Stable,0,FALSE,66.67,84.9,0,40,39.65,1,39.65,No Signal,7.2%
ORN,2709500,2631598,8.01,2026-09-15,NA,0.07,finra,40495300,shares outstanding,Stable,0,FALSE,63.54,88.02,0,40,39.49,1,39.49,No Signal,6.7%
CFR,4036885,3877479,8.18,2026-09-15,NA,0.06,finra,62149000,shares outstanding,Stable,0,FALSE,61.46,89.58,0,40,39.28,1,39.28,No Signal,6.5%
ASAN,22141079,25486506,2.98,2026-09-15,NA,0.14,finra,159442000,shares outstanding,Decreasing,0,FALSE,88.02,25.52,0,80,39.11,1,39.11,No Signal,13.9%
EXP,1847300,2065576,4.44,2026-09-15,NA,0.06,finra,30675300,shares outstanding,Decreasing,0,FALSE,57.29,63.54,0,80,39.03,1,39.03,No Signal,6%
