symbol,last_fetched,company_av,sector_av,industry,market_cap,pe_ratio,pe_forward,pb_ratio,eps,eps_forward,roe,roa,profit_margin,operating_margin,revenue,revenue_per_share,ebitda,ev_ebitda,earningsGrowth,revenue_growth,beta_av,analyst_target,analyst_strong_buy,analyst_buy,analyst_hold,analyst_sell,analyst_strong_sell,shares_outstanding,dividend_yield,peg_ratio,ev_revenue,book_value,high_52w_av,low_52w_av
LSCC,2026-08-07,Lattice Semiconductor Corporation,TECHNOLOGY,SEMICONDUCTORS,18279295000,536.25,77.52,25.03,0.24,0.24,0.0493,0.0386,0.0558,0.133,651117000,4.758,92066000,198.34,6,0.622,1.796,164.92,3,8,0,0,1,142030000,NA,0.591,30.07,5.41,157.01,59.37
MA,2026-08-14,Mastercard Inc,FINANCIAL SERVICES,CREDIT SERVICES,496732635000,31.17,28.57,87.92,18.19,18.19,2.412,0.241,0.463,0.611,35083002000,39.27,22201000000,22.9,0.221,0.141,0.735,665.26,9,29,3,0,0,869464000,0.006,1.724,14.43,6.4,598.04,463.74
MCD,2026-08-14,McDonald’s Corporation,CONSUMER CYCLICAL,RESTAURANTS,192655409000,22.43,21.14,146.07,12.14,12.14,0,0.133,0.317,0.465,27702000000,38.96,14930000000,16.41,0.057,0.037,0.419,316.06,4,14,15,1,0,707642000,0.0267,2.545,8.93,-1.446,337.56,260.96
MCHP,2026-08-16,Microchip Technology Inc,TECHNOLOGY,SEMICONDUCTORS,42989998000,116.43,21.46,6.66,0.68,0.68,0.0719,0.0354,0.0934,0.24,5122300000,9.46,1506100000,32.96,-0.816,0.38,1.742,109.21,2,17,6,0,0,543009000,0.0234,0.236,9.39,11.88,105.38,47.57
MDB,2026-08-16,MongoDB,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,37025227000,NA,79.37,12.94,-0.37,-0.37,-0.0098,-0.0182,-0.0112,-0.0361,2602399000,32.1,-80103000,1326.96,0.022,0.252,1.545,396.21,8,23,9,0,0,80432000,NA,1.672,13.68,36.46,473.1,206.92
MEDP,2026-08-07,Medpace Holdings Inc,HEALTHCARE,DIAGNOSTICS & RESEARCH,16405076000,34.51,33.56,37.09,17.03,17.03,1.621,0.201,0.177,0.208,2782288000,98.47,611200000,25.7,0.371,0.172,1.151,581.83,1,3,8,1,0,27911700,NA,3.087,5.65,15.54,677.9,373
META,2026-08-14,Meta Platforms Inc.,COMMUNICATION SERVICES,INTERNET CONTENT & INFORMATION,1515689738000,21.79,19.88,5.8,27.31,27.31,0.298,0.146,0.298,0.348,228246995000,90.25,109654999000,13.69,-0.134,0.28,1.243,754.14,8,47,7,0,0,2205129000,0.0036,0.888,6.74,102.52,788.22,519.78
MITK,2026-08-07,Mitek Systems Inc,TECHNOLOGY,SOFTWARE - APPLICATION,759120000,50.94,9.13,3.345,0.33,0.33,0.0721,0.0448,0.0874,0.247,189593000,4.153,42000000,16.37,0,0.056,0.979,18.5,1,4,0,0,0,45158900,NA,1.375,4.092,5.34,21.05,8.53
MLI,2026-08-07,Mueller Industries Inc,INDUSTRIALS,METAL FABRICATION,15319024000,18.04,18.18,4.261,3.84,3.84,0.263,0.165,0.182,0.218,4661137000,21.37,1089398000,11.52,0.018,0.255,1.122,77.5,0,1,1,0,0,221181000,0.0088,3.408,2.945,16.04,71.12,43.56
MPWR,2026-08-16,Monolithic Power Systems Inc,TECHNOLOGY,SEMICONDUCTORS,68898980000,85.49,52.63,17.69,16.4,16.4,0.22,0.136,0.245,0.31,3273158000,67.27,1000282000,67.49,0.858,0.476,1.686,1829.54,2,11,2,0,0,49143000,0.0052,1.405,20.62,79.27,1711.48,795.4
MRK,2026-08-14,Merck & Company Inc,HEALTHCARE,DRUG MANUFACTURERS - GENERAL,334425129000,106.73,47.62,7.7,1.27,1.27,0.0696,0.119,0.0477,-0.0024,66568999000,26.85,28871000000,25.67,-0.193,0.051,0.211,137.73,4,15,8,0,1,2467172000,0.025,12.53,5.55,18.58,135.68,75.81
MS,2026-08-14,Morgan Stanley,FINANCIAL SERVICES,CAPITAL MARKETS,343293362000,17.57,17.33,3.176,12.43,12.43,0.18,0.0135,0.259,0.416,77827998000,49.81,NA,NA,0.624,0.28,1.209,236.62,2,9,13,1,0,1572000000,0.0191,2.041,6.29,67.8,230.98,137.9
MSFT,2026-08-14,Microsoft Corporation,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,3689605235000,27.39,25.71,8.49,18.14,18.14,0.34,0.141,0.403,0.451,331839013000,44.67,194237006000,18.01,0.317,0.177,1.099,567.2,14,40,3,0,0,7425545000,0.0074,1.653,11.26,59.56,550.24,349.2
MTZ,2026-08-07,MasTec Inc,INDUSTRIALS,ENGINEERING & CONSTRUCTION,21421345000,42.48,29.67,6.28,6.28,6.28,0.162,0.0528,0.0307,0.0542,16109103000,206.78,1308463000,18.85,0.514,0.234,1.837,433.63,2,17,1,0,0,80305000,NA,1.078,1.536,42.43,441.43,167.66
MYRG,2026-08-07,MYR Group Inc,INDUSTRIALS,ENGINEERING & CONSTRUCTION,5155368000,31.63,28.01,6.87,10.47,10.47,0.247,0.0848,0.0413,0.062,4006051000,257.75,290834000,17.29,0.865,0.201,1.337,423.33,0,3,4,0,0,15569200,NA,3.409,1.276,45.15,503.57,171.51
NBIX,2026-08-07,Neurocrine Biosciences Inc,HEALTHCARE,DRUG MANUFACTURERS - SPECIALTY & GENERIC,16416343000,24.29,24.51,4.57,6.65,6.65,0.221,0.117,0.209,0.222,3373900000,33.66,913300000,18.33,0.311,0.395,0.394,211.94,4,19,4,0,0,101649000,NA,0.491,5.01,33.87,186.12,122.14
NDSN,2026-08-07,Nordson Corporation,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,17309895000,33.12,23.81,5.18,9.38,9.38,0.171,0.0792,0.182,0.235,2903637000,51.83,911213000,20.68,0.061,0.085,0.964,316.86,0,5,3,0,1,55718000,0.0105,1.84,6.36,57.47,315.68,206.92
NEE,2026-08-14,Nextera Energy Inc,UTILITIES,UTILITIES - REGULATED ELECTRIC,179382927000,19.28,21.1,3.093,4.46,4.46,0.117,0.0244,0.324,0.315,28700000000,13.81,14593000000,16.05,0.531,0.124,0.653,98.53,2,11,7,1,0,2085605000,0.0277,1.851,9.9,27.39,98.03,67.81
NET,2026-08-16,Cloudflare Inc,TECHNOLOGY,SOFTWARE - INFRASTRUCTURE,112442851000,NA,243.9,69.41,-0.57,-0.57,-0.144,-0.0205,-0.0821,-0.079,2512350000,7.14,-5047000,2890.92,0,0.359,1.66,333.55,7,17,8,1,1,322619000,NA,2.377,44.5,4.32,332.22,158.83
NFLX,2026-08-14,Netflix Inc,COMMUNICATION SERVICES,ENTERTAINMENT,325786632000,23.29,24.15,10.54,3.36,3.36,0.495,0.161,0.282,0.334,48370766000,11.46,14726931000,9.22,0.111,0.134,1.514,94.04,7,29,15,0,0,4163940000,NA,1.708,6.67,7.24,126.71,65.08
NPWR,2026-08-07,NET Power Inc.,INDUSTRIALS,SPECIALTY INDUSTRIAL MACHINERY,132576000,NA,NA,0.616,-5.91,-5.91,-1.145,-0.134,0,0,0,0,-245272000,-13.21,0,0.904,1.073,3.125,0,3,1,0,0,88384000,NA,NA,4450.26,2.332,5.2,1.35
NTRA,2026-08-16,Natera Inc,HEALTHCARE,DIAGNOSTICS & RESEARCH,44674605000,NA,NA,25.19,-1.33,-1.33,-0.125,-0.0808,-0.0711,-0.103,2707076000,19.32,-224420992,-26.8,0,0.377,1.514,330.64,5,14,3,0,0,144144000,NA,0,16.64,12.43,326.03,156.71
NTRS,2026-08-07,Northern Trust Corporation,FINANCIAL SERVICES,ASSET MANAGEMENT,33733364000,15.68,16.89,2.666,11.76,11.76,0.171,0.0128,0.247,0.425,9085500000,48.65,NA,NA,0.986,0.364,1.259,183.81,0,2,10,1,2,182956000,0.0175,1.207,5.29,65.4,191.6,119.17
