symbol,shares_short,shares_short_prior,short_ratio,settlement_date,float_shares,short_percent_float,short_source,shares_outstanding,short_pct_basis,short_trend,improvement_count,fundamentals_improving,sf_score,dtc_score,fi_score,st_score,squeeze_score_raw,squeeze_mult,squeeze_score,squeeze_tier,short_float_pct
HNST,9800196,9513713,8.55,2026-07-31,NA,0.09,finra,107284000,shares outstanding,Stable,0,FALSE,72.68,92.27,0,40,42.62,1,42.62,Low Signal,9.1%
CROX,4415345,4942071,4.08,2026-07-31,NA,0.09,finra,47945100,shares outstanding,Decreasing,0,FALSE,73.2,61.34,0,80,42.57,1,42.57,Low Signal,9.2%
HALO,14022134,13295961,8.35,2026-07-31,NA,0.12,finra,113498000,shares outstanding,Increasing,0,FALSE,84.54,91.24,0,20,42.38,1,42.38,Low Signal,12.4%
ONON,19819226,21251241,4.94,2026-07-31,NA,0.07,finra,301716000,shares outstanding,Decreasing,0,FALSE,61.34,73.2,0,80,41.97,1,41.97,Low Signal,6.6%
AMPL,7681101,8696566,4.43,2026-07-31,NA,0.08,finra,101262000,shares outstanding,Decreasing,0,FALSE,65.46,67.53,0,80,41.87,1,41.87,Low Signal,7.6%
LMB,1170862,1178263,6.69,2026-07-31,NA,0.1,finra,11925000,shares outstanding,Stable,0,FALSE,75.26,85.05,0,40,41.82,1,41.82,Low Signal,9.8%
IDYA,10113206,9573580,13.19,2026-07-31,NA,0.1,finra,96489000,shares outstanding,Increasing,0,FALSE,77.84,95.88,0,20,41.63,1,41.63,Low Signal,10.5%
IONS,21466123,20042879,6.35,2026-07-31,NA,0.13,finra,166184000,shares outstanding,Increasing,0,FALSE,87.11,84.02,0,20,41.58,1,41.58,Low Signal,12.9%
ERAS,29953849,30766629,7.27,2026-07-31,NA,0.09,finra,349762000,shares outstanding,Stable,0,FALSE,71.65,88.14,0,40,41.54,1,41.54,Low Signal,8.6%
PLNT,7291394,9280364,3.82,2026-07-31,NA,0.1,finra,75217000,shares outstanding,Decreasing,0,FALSE,74.23,54.64,0,80,41.48,1,41.48,Low Signal,9.7%
FROG,9393448,10930781,4.19,2026-07-31,NA,0.08,finra,123301000,shares outstanding,Decreasing,0,FALSE,65.98,63.4,0,80,41.18,1,41.18,Low Signal,7.6%
RJF,8956745,9561283,6.51,2026-07-31,NA,0.05,finra,192100000,shares outstanding,Decreasing,0,FALSE,47.42,84.54,0,80,40.76,1,40.76,Low Signal,4.7%
JAZZ,3355182,3801863,5.33,2026-07-31,NA,0.05,finra,64915000,shares outstanding,Decreasing,0,FALSE,51.03,79.38,0,80,40.63,1,40.63,Low Signal,5.2%
BARK,551323,570268,13.23,2026-07-31,NA,0.06,finra,9033500,shares outstanding,Stable,0,FALSE,57.73,96.39,0,40,39.71,1,39.71,No Signal,6.1%
ALGM,11062440,12560242,4.42,2026-07-31,NA,0.06,finra,186402000,shares outstanding,Decreasing,0,FALSE,57.22,67.01,0,80,39.71,1,39.71,No Signal,5.9%
INTA,3807922,4911931,5.13,2026-07-31,NA,0.05,finra,76511000,shares outstanding,Decreasing,0,FALSE,48.97,77.32,0,80,39.71,1,39.71,No Signal,5%
SG,21362594,21231426,3.46,2026-07-31,NA,0.2,finra,107148000,shares outstanding,Stable,0,FALSE,94.85,49.48,0,40,39.61,1,39.61,No Signal,19.9%
ACAD,10812093,11029444,7.96,2026-07-31,NA,0.06,finra,171236000,shares outstanding,Stable,0,FALSE,59.79,90.21,0,40,38.99,1,38.99,No Signal,6.3%
OLLI,6604987,6946620,4.23,2026-07-31,NA,0.11,finra,60453000,shares outstanding,Stable,0,FALSE,80.41,64.43,0,40,38.99,1,38.99,No Signal,10.9%
QBTS,65914289,65067516,3.35,2026-07-31,NA,0.18,finra,369264000,shares outstanding,Stable,0,FALSE,92.27,48.45,0,40,38.76,1,38.76,No Signal,17.9%
ZNTL,5578646,6146782,4.16,2026-07-31,NA,0.06,finra,94672000,shares outstanding,Decreasing,0,FALSE,56.7,62.37,0,80,38.65,1,38.65,No Signal,5.9%
VEEV,7300157,7918041,5.04,2026-07-31,NA,0.04,finra,162443000,shares outstanding,Decreasing,0,FALSE,45.88,74.74,0,80,38.42,1,38.42,No Signal,4.5%
AFRM,15391541,16725898,4.37,2026-07-31,NA,0.05,finra,294358000,shares outstanding,Decreasing,0,FALSE,52.06,65.46,0,80,38.11,1,38.11,No Signal,5.2%
ARHS,4652817,4564113,4.73,2026-07-31,NA,0.09,finra,54424000,shares outstanding,Stable,0,FALSE,71.13,70.62,0,40,37.91,1,37.91,No Signal,8.5%
TOST,34304036,40780362,3.57,2026-07-31,NA,0.07,finra,514000000,shares outstanding,Decreasing,0,FALSE,61.86,51.03,0,80,37.67,1,37.67,No Signal,6.7%
MEDP,1746898,2190722,3.82,2026-07-31,NA,0.06,finra,27911700,shares outstanding,Decreasing,0,FALSE,58.25,54.64,0,80,37.49,1,37.49,No Signal,6.3%
RGTI,63394520,61351381,2.97,2026-07-31,NA,0.19,finra,333769000,shares outstanding,Stable,0,FALSE,94.33,38.66,0,40,37.31,1,37.31,No Signal,19%
PD,7644566,6994530,5.05,2026-07-31,NA,0.1,finra,77123000,shares outstanding,Increasing,0,FALSE,76.29,75.26,0,20,37.12,1,37.12,No Signal,9.9%
CAVA,12865002,13382232,3.62,2026-07-31,NA,0.11,finra,116806000,shares outstanding,Stable,0,FALSE,80.93,53.09,0,40,36.85,1,36.85,No Signal,11%
