symbol,date,close
DUOL,2025-05-21,514.3
GOOGL,2025-05-21,168.56
JPM,2025-05-21,261.04
META,2025-05-21,635.5
MSFT,2025-05-21,452.57
NVDA,2025-05-21,131.8
PANW,2025-05-21,181.26
SPY,2025-05-21,582.86
TSLA,2025-05-21,334.62
UNH,2025-05-21,302.98
WMT,2025-05-21,96.43
XOM,2025-05-21,103.66
AAPL,2025-05-22,201.36
AMD,2025-05-22,110.71
AMZN,2025-05-22,203.1
CRM,2025-05-22,283.42
CRWD,2025-05-22,111.0175
DUOL,2025-05-22,517.8
GOOGL,2025-05-22,170.87
JPM,2025-05-22,260.67
META,2025-05-22,636.57
MSFT,2025-05-22,454.86
NVDA,2025-05-22,132.83
PANW,2025-05-22,186.14
SPY,2025-05-22,583.09
TSLA,2025-05-22,341.04
UNH,2025-05-22,296.67
WMT,2025-05-22,95.93
XOM,2025-05-22,102.97
AAPL,2025-05-23,195.27
AMD,2025-05-23,110.31
AMZN,2025-05-23,200.99
CRM,2025-05-23,273.13
CRWD,2025-05-23,113.8975
DUOL,2025-05-23,520.21
GOOGL,2025-05-23,168.47
JPM,2025-05-23,260.71
META,2025-05-23,627.06
MSFT,2025-05-23,450.18
NVDA,2025-05-23,131.29
PANW,2025-05-23,186.75
SPY,2025-05-23,579.11
TSLA,2025-05-23,339.34
UNH,2025-05-23,295.57
WMT,2025-05-23,96.34
XOM,2025-05-23,103.03
AAPL,2025-05-27,200.21
AMD,2025-05-27,114.56
AMZN,2025-05-27,206.02
CRM,2025-05-27,277.19
CRWD,2025-05-27,118.055
DUOL,2025-05-27,525
GOOGL,2025-05-27,172.9
JPM,2025-05-27,265.29
META,2025-05-27,642.32
MSFT,2025-05-27,460.69
NVDA,2025-05-27,135.5
PANW,2025-05-27,187.46
SPY,2025-05-27,591.15
TSLA,2025-05-27,362.89
UNH,2025-05-27,295
WMT,2025-05-27,97.58
XOM,2025-05-27,103.52
AAPL,2025-05-28,200.42
AMD,2025-05-28,112.86
AMZN,2025-05-28,204.72
CRM,2025-05-28,276.03
CRWD,2025-05-28,117.2075
DUOL,2025-05-28,524.4
GOOGL,2025-05-28,172.36
JPM,2025-05-28,263.49
META,2025-05-28,643.58
